Name,Category,Volume,ABV,
Great Northern,Lager,330,4.2,
Pure Blonde,Lager,330,4,
Asahi,Lager,330,5,
Victoria Bitter,Lager,375,4.9,
Peroni,Lager,330,5.1,
XXXX Gold,Lager,375,3.5,
Carlton Draught,Lager,375,4.6,
Crown,Lager,375,4.9,
Heineken ,Lager,330,5,
James Squire One Fifty Lashes,"Pale Ale
",345,4.2,
Coopers Original Pale Ale,"Pale Ale
",375,4.5,
Little Creatures Pale Ale,"Pale Ale
",330,5.2,
Fat Yak Original Pale Ale,"Pale Ale
",345,4.7,
"4 Pines Pale Ale
","Pale Ale
",330,5.1,
Mountain Goat Pale Ale,"Pale Ale
",330,5.2,
James Squire The Swindler Tropical Pale Ale,"Pale Ale
",345,4.2,
John Boston Pale Ale,"Pale Ale
",330,4.2,
Atomic Beer Project Pale Ale,"Pale Ale
",330,4.7,
Cricketers Pale Ale,"Pale Ale
",330,4.6,
Gage Roads Sleeping Giant,IPA,330,5.4,
Feral Hop Hog Pale Ale,IPA,330,5.8,
Tui East India Pale Ale,IPA,330,4,
John Boston Session IPA,IPA,330,4.2,
Little Creatures IPA,IPA,355,6.4,
Balter IPA,IPA,375,6.8,
5 Seeds Crisp Apple Cider,Cider,345,5,
Bulmers Original Cider,Cider,330,4.7,
Monteith's Crushed Apple Cider,Cider,330,4.5,
James Squire Orchard Crush Apple Cider,Cider,345,4.8,
Pure Blonde Organic Apple Cider ,Cider,355,4.2,
Little Creatures Pipsqueak Apple Cider,Cider,330,5.2,
Strongbow Original Cider,Cider,355,5,
